Id,firstName,lastName,Created,Updated,LastLogin,groupId,Email,phoneNumber,clientSystemId,sumPoints,userType
135791125,עומר,אתרוג,01/08/2015,29/08/2015,01/09/2015,נויה,a1234@aceimpact.com,0501111111,4500,500,admin
135791140,דורון,שטייר,01/08/2015,29/08/2015,01/09/2015,נויה,b1267@aceimpact.com,0501111112,4501,510,admin
135791155,ציפי,פרימו,15/07/2015,29/08/2015,01/09/2015,נויה,b1234@aceimpact.com,0501111113,4502,150,regular
135791170,יובל,המבולבל,01/08/2015,29/08/2015,01/09/2015,נויה,c1234@aceimpact.com,0501111114,4503,200,regular
135791185,רינת,ויוי,01/08/2015,29/08/2015,01/09/2015,נויה,d1234@aceimpact.com,0501111115,4504,210,regular
135791200,רוני,סופרסטאר,15/08/2015,29/08/2015,01/09/2015,נויה,e1234@aceimpact.com,0501111116,4505,390,regular
135791215,יוסי,בקוגן,01/08/2015,29/08/2015,01/09/2015,נויה,f1234@aceimpact.com,0501111117,4506,400,regular
135791230,רותי,שטרית,01/07/2015,29/08/2015,01/09/2015,נויה,g1234@aceimpact.com,0501111118,4507,40,regular
135791245,אור,כהן,01/08/2015,29/08/2015,01/09/2015,נויה,h1234@aceimpact.com,0501111119,4508,70,regular
135791260,בר,בר דוד,01/08/2015,29/08/2015,01/09/2015,נויה,i1234@aceimpact.com,0501111210,4509,300,regular
135791275,נעמה,ישראלי,01/08/2015,29/08/2015,01/09/2015,נויה,j1234@aceimpact.com,0501111211,4510,310,regular
135791290,מיכל,אברהם,01/07/2015,29/08/2015,01/09/2015,יפית,k1234@aceimpact.com,0501111221,4511,320,regular
135791305,ריקי,אור,15/07/2015,29/08/2015,01/09/2015,יפית,l1234@aceimpact.com,0501111231,4512,45,regular
135791320,סער,אבנר,01/08/2015,29/08/2015,01/09/2015,יפית,l1234@aceimpact.com,0501111241,4513,110,regular
135791335,נועם,אדר,15/07/2015,29/08/2015,01/09/2015,יפית,m1234@aceimpact.com,0501111251,4514,120,regular
135791350,ליאת,גולן,01/08/2015,29/08/2015,01/09/2015,יפית,n1234@aceimpact.com,0501111261,4515,200,regular
135791365,ברק,לוי,01/08/2015,29/08/2015,01/09/2015,יפית,o1234@aceimpact.com,0501111271,4516,300,regular
135791380,אופיר,מימון,01/08/2015,29/08/2015,01/09/2015,יפית,p1234@aceimpact.com,0501111281,4517,310,regular
135791395,מאיה,הכהן,15/07/2015,29/08/2015,01/09/2015,יפית,q1234@aceimpact.com,0501111291,4518,400,regular
135791410,רן,ישראל,01/08/2015,29/08/2015,01/09/2015,יפית,r1234@aceimpact.com,0501111301,4519,560,regular
135791425,נועה,אלול,15/08/2015,29/08/2015,01/09/2015,יפית,s1234@aceimpact.com,0501111311,4520,200,regular
135791440,רז,הראשון,01/08/2015,29/08/2015,01/09/2015,יותם,t1234@aceimpact.com,0501111321,4521,300,regular
135791455,אפרת,בן נון,01/08/2015,29/08/2015,01/09/2015,יותם,u1234@aceimpact.com,0501111331,4522,310,regular
135791470,שחר,גלילי,01/08/2015,29/08/2015,01/09/2015,יותם,v1234@aceimpact.com,0521111341,4523,50,regular
135791485,דן,ירון,01/08/2015,29/08/2015,01/09/2015,יותם,w1234@aceimpact.com,0521111351,4524,60,regular
135791500,אליה,נגב,15/08/2015,29/08/2015,01/09/2015,יותם,x1234@aceimpact.com,0521111361,4525,520,regular
135791515,קורן,מור,01/08/2015,29/08/2015,01/09/2015,יותם,y1234@aceimpact.com,0521111371,4526,530,regular
135791530,עמיר,דיגימון,01/07/2015,29/08/2015,01/09/2015,יותם,z1234@aceimpact.com,0521111381,4527,400,regular
135791545,דקל,רם,01/08/2015,29/08/2015,01/09/2015,שמעון,b12685@aceimpact.com,0521111391,4528,410,regular
